MWT1,POS1,MWT2,POS2,SWT1,SWT2,Rel
augmentation des revenus,N P N,croissance des revenus,N P N,augmentation,croissance,QSYN
virage vert,N A,virage écologique,N A,vert,écologique,QSYN
souci environnemental,N A,souci écologique,N A,environnemental,écologique,QSYN
sciences de la vie,N P N,sciences du vivant,N P N,vie,vivant,QSYN
concentration des déchets,N P N,teneur des déchets,N P N,concentration,teneur,QSYN
région supérieure,N A,zone supérieure,N A,région,zone,QSYN
pauvreté dans la région,N P N,pauvreté des pays,N P N,région,pays,QSYN
membres du collectif,N P N,membres du public,N P N,collectif,public,QSYN
contamination durable,N A,pollution durable,N A,contamination,pollution,QSYN
extinction de masse,N P N,perte de masse,N P N,extinction,perte,QSYN
engagement local,N A,engagement régional,N A,local,régional,QSYN
augmentation supérieure,N A,croissance supérieure,N A,augmentation,croissance,QSYN
augmentation de la concentration,N P N,hausse de la concentration,N P N,augmentation,hausse,QSYN
référence à une région,N P N,zone de référence,N P N,région,zone,QSYN
valorisation du bois,N P N,bois de récupération,N P N,valorisation,récupération,QSYN
vie dynamique,N A,dynamique du vivant,N P N,vie,vivant,QSYN
réduction des dépenses,N P N,diminution des dépenses,N P N,réduction,diminution,QSYN
collecte du bois,N P N,ramassage du bois,N P N,collecte,ramassage,QSYN
environnement favorable,N A,écosystème favorable,N A,environnement,écosystème,QSYN
physique du globe,N P N,monde physique,N A,globe,monde,QSYN
énergie hydroélectrique,N A,énergie électrique,N A,hydroélectrique,électrique,QSYN
problème de la perte,N P N,problème de la raréfaction,N P N,perte,raréfaction,QSYN
enjeux de la protection,N P N,enjeux de préservation,N P N,protection,préservation,QSYN
mer dans la région,N P N,mer dans la zone,N P N,région,zone,QSYN
dommages à la flore,N P N,dommages à la végétation,N P N,flore,végétation,QSYN
chaleur bois,N N,énergie bois,N N,chaleur,énergie,QSYN
chose du monde,N P N,chose pour la planète,N P N,monde,planète,QSYN
refroidissement de la planète,N P N,refroidissement de la terre,N P N,planète,terre,QSYN
temps de trajet,N P N,voyage dans le temps,N P N,trajet,voyage,QSYN
coeur de la forêt,N P N,bois de coeur,N P N,forêt,bois,QSYN
population de la terre,N P N,population du globe,N P N,terre,globe,QSYN
transformation écologique,N A,traitement écologique,N A,transformation,traitement,QSYN
transformation physique,N A,traitement physique,N A,transformation,traitement,QSYN
droit à la croissance,N P N,droit au développement,N P N,croissance,développement,QSYN
surexploitation des ressources,N P N,exploitation des ressources,N P N,surexploitation,exploitation,QSYN
impact des pratiques,N P N,influence des pratiques,N P N,impact,influence,QSYN
termes de conservation,N P N,termes de préservation,N P N,conservation,préservation,QSYN
développement de la flore,N P N,développement de la végétation,N P N,flore,végétation,QSYN
atmosphère au cours,N P N,air en cours,N P N,atmosphère,air,QSYN
usage du charbon,N P N,usage du pétrole,N P N,charbon,pétrole,QSYN
produits de la forêt,N P N,produits bois,N N,forêt,bois,QSYN
logique de vie,N P N,logique du vivant,N P N,vie,vivant,QSYN
région de la forêt,N P N,bois de la région,N P N,forêt,bois,QSYN
carbone du sol,N P N,carbone du sous-sol,N P N,sol,sous-sol,QSYN
impact sur le climat,N P N,influence sur le climat,N P N,impact,influence,QSYN
concentration en oxygène,N P N,teneur en oxygène,N P N,concentration,teneur,QSYN
habitants du monde,N P N,habitants de la planète,N P N,monde,planète,QSYN
espèces de la zone,N P N,espèces en milieu,N P N,zone,milieu,QSYN
recherche sur les gaz,N P N,recherche de pétrole,N P N,gaz,pétrole,QSYN
industrie du verre,N P N,industrie du papier,N P N,verre,papier,QSYN
région du bassin,N P N,pays du bassin,N P N,région,pays,QSYN
pays du globe,N P N,pays dans le monde,N P N,globe,monde,QSYN
environnement face,N N,milieu face,N N,environnement,milieu,QSYN
dégradation supplémentaire,N A,détérioration supplémentaire,N A,dégradation,détérioration,QSYN
élévation des océans,N P N,réchauffement des océans,N P N,élévation,réchauffement,QSYN
population en augmentation,N P N,population en croissance,N P N,augmentation,croissance,QSYN
richesse de la vie,N P N,richesse du vivant,N P N,vie,vivant,QSYN
fonte des glaces,N P N,recul des glaces,N P N,fonte,recul,QSYN
zones du monde,N P N,zones de la planète,N P N,monde,planète,QSYN
région europe,N N,pays en europe,N P N,région,pays,QSYN
question de la transformation,N P N,question du traitement,N P N,transformation,traitement,QSYN
région afrique,N A,pays en afrique,N P N,région,pays,QSYN
stratégie pour la croissance,N P N,stratégie de développement,N P N,croissance,développement,QSYN
avenir du monde,N P N,avenir pour la planète,N P N,monde,planète,QSYN
réduction de la biodiversité,N P N,diminution de la biodiversité,N P N,réduction,diminution,QSYN
stockage du carbone,N P N,séquestration du carbone,N P N,stockage,séquestration,QSYN
transformation des produits,N P N,traitement des produits,N P N,transformation,traitement,QSYN
origine de la contamination,N P N,origine de la pollution,N P N,contamination,pollution,QSYN
impact global,N A,impact mondial,N A,global,mondial,QSYN
flux de chaleur,N P N,énergie de flux,N P N,chaleur,énergie,QSYN
réduction des impacts,N P N,diminution des impacts,N P N,réduction,diminution,QSYN
région du sud-est,N P N,pays du sud-est,N P N,région,pays,QSYN
circulation des masses,N P N,déplacement des masses,N P N,circulation,déplacement,QSYN
monde au cours,N P N,planète au cours,N P N,monde,planète,QSYN
conservation dans les zones,N P N,protection des zones,N P N,conservation,protection,QSYN
biomasse chaleur,N N,biomasse en énergie,N P N,chaleur,énergie,QSYN
victimes de la dégradation,N P N,victimes de la sécheresse,N P N,dégradation,sécheresse,QSYN
santé de la zone,N P N,santé en milieu,N P N,zone,milieu,QSYN
réduction des ges,N P N,diminution des ges,N P N,réduction,diminution,QSYN
croissance des pays,N P N,développement pour les pays,N P N,croissance,développement,QSYN
augmentation permanente,N A,croissance permanente,N A,augmentation,croissance,QSYN
réduction nette,N A,diminution nette,N A,réduction,diminution,QSYN
chemin vers la croissance,N P N,chemin du développement,N P N,croissance,développement,QSYN
amplification du changement,N P N,amplification du réchauffement,N P N,changement,réchauffement,QSYN
signes de perturbation,N P N,signes de stress,N P N,perturbation,stress,QSYN
disparition rapide,N A,perte rapide,N A,disparition,perte,QSYN
pollution de la zone,N P N,pollution du milieu,N P N,zone,milieu,QSYN
flore forestière,N A,végétation forestière,N A,flore,végétation,QSYN
population en augmentation,N P N,hausse de la population,N P N,augmentation,hausse,QSYN
contamination importante,N A,pollution importante,N A,contamination,pollution,QSYN
compte de la croissance,N P N,compte du développement,N P N,croissance,développement,QSYN
eau dans le monde,N P N,eau sous terre,N P N,monde,terre,QSYN
ville propre,N A,ville écologique,N A,propre,écologique,QSYN
label vert,N A,label écologique,N A,vert,écologique,QSYN
professeur en écologie,N P N,professeur de météorologie,N P N,écologie,météorologie,QSYN
vie de la planète,N P N,terre vie,N N,planète,terre,QSYN
journaliste du globe,N P N,journaliste du monde,N P N,globe,monde,QSYN
diminution de la pression,N P N,pression à la baisse,N P N,diminution,baisse,QSYN
biodiversité dans le monde,N P N,biodiversité sur la planète,N P N,monde,planète,QSYN
tour de la planète,N P N,tour de la terre,N P N,planète,terre,QSYN
sécheresse intense,N A,érosion intense,N A,sécheresse,érosion,QSYN
recherche de gaz,N P N,recherche de pétrole,N P N,gaz,pétrole,QSYN
recyclage du bois,N P N,récupération des bois,N P N,recyclage,récupération,QSYN
forêts du monde,N P N,forêts de la terre,N P N,monde,terre,QSYN
temps de parcours,N P N,voyage dans le temps,N P N,parcours,voyage,QSYN
échelle de la terre,N P N,échelle du globe,N P N,terre,globe,QSYN
opérations de stockage,N P N,charge des opérations,N P N,stockage,charge,QSYN
projets de valorisation,N P N,projets de récupération,N P N,valorisation,récupération,QSYN
laboratoire environnement,N N,laboratoire en milieu,N P N,environnement,milieu,QSYN
réseau global,N A,réseau planétaire,N A,global,planétaire,QSYN
entreprises de collecte,N P N,entreprises de ramassage,N P N,collecte,ramassage,QSYN
dégradation actuelle,N A,érosion actuelle,N A,dégradation,érosion,QSYN
environnement quotidien,N A,écologie au quotidien,N P N,environnement,écologie,QSYN
réduction des émissions,N P N,diminution des émissions,N P N,réduction,diminution,QSYN
environnement au cours,N P N,cours dans le milieu,N P N,environnement,milieu,QSYN
élevage durable,N A,pêche durable,N A,élevage,pêche,QSYN
réduction de la population,N P N,diminution de la population,N P N,réduction,diminution,QSYN
indice de sensibilité,N P N,indice de vulnérabilité,N P N,sensibilité,vulnérabilité,QSYN
carbone organique,N A,carbone biologique,N A,organique,biologique,QSYN
océans du globe,N P N,océans dans le monde,N P N,globe,monde,QSYN
milieu humain,N A,homme dans le milieu,N P N,humain,homme,QSYN
changement de régime,N P N,fluctuation du régime,N P N,changement,fluctuation,QSYN
rythme de disparition,N P N,rythme du déclin,N P N,disparition,déclin,QSYN
espèces du globe,N P N,espèces du monde,N P N,globe,monde,QSYN
monde extérieur,N A,extérieur en terre,N P N,monde,terre,QSYN
importance de la protection,N P N,importance de la préservation,N P N,protection,préservation,QSYN
conservation grâce,N N,grâce à la protection,N P N,conservation,protection,QSYN
habitants sur la planète,N P N,habitants de la terre,N P N,planète,terre,QSYN
environnement dans la politique,N P N,écologie dans la politique,N P N,environnement,écologie,QSYN
disparition des glaces,N P N,déclin des glaces,N P N,disparition,déclin,QSYN
croissance du nombre,N P N,hausse du nombre,N P N,croissance,hausse,QSYN
personnel local,N A,personnel régional,N A,local,régional,QSYN
période de changement,N P N,période de réchauffement,N P N,changement,réchauffement,QSYN
augmentation moyenne,N A,hausse moyenne,N A,augmentation,hausse,QSYN
niveau de croissance,N P N,hausse du niveau,N P N,croissance,hausse,QSYN
électricité à base,N P N,énergie à base,N P N,électricité,énergie,QSYN
planète par rapport,N P N,terre par rapport,N P N,planète,terre,QSYN
conséquence des actions,N P N,impact des actions,N P N,conséquence,impact,QSYN
mouvement global,N A,mouvement planétaire,N A,global,planétaire,QSYN
face à la perte,N P N,face à la raréfaction,N P N,perte,raréfaction,QSYN
pays du globe,N P N,pays du monde,N P N,globe,monde,QSYN
loi sur la conservation,N P N,loi sur la protection,N P N,conservation,protection,QSYN
réduction de la mortalité,N P N,diminution de la mortalité,N P N,réduction,diminution,QSYN
recherche en écologie,N P N,recherche en climatologie,N P N,écologie,climatologie,QSYN
économie de la région,N P N,économie de la zone,N P N,région,zone,QSYN
dégradation de la qualité,N P N,détérioration de la qualité,N P N,dégradation,détérioration,QSYN
lutte contre le déboisement,N P N,lutte contre la déforestation,N P N,déboisement,déforestation,QSYN
environnement urbain,N A,écosystème urbain,N A,environnement,écosystème,QSYN
degré de sensibilité,N P N,degré de vulnérabilité,N P N,sensibilité,vulnérabilité,QSYN
environnement terrestre,N A,écologie terrestre,N A,environnement,écologie,QSYN
électricité dans le monde,N P N,monde en énergie,N P N,électricité,énergie,QSYN
augmentation continue,N A,croissance continue,N A,augmentation,croissance,QSYN
réduction du prix,N P N,diminution du prix,N P N,réduction,diminution,QSYN
protection de la végétation,N P N,préservation de la végétation,N P N,protection,préservation,QSYN
fins de recyclage,N P N,fins de valorisation,N P N,recyclage,valorisation,QSYN
réduction sensible,N A,diminution sensible,N A,réduction,diminution,QSYN
rayonnement solaire,N A,rayonnement thermique,N A,solaire,thermique,QSYN
nature environnement,N N,nature pour une écologie,N P N,environnement,écologie,QSYN
impact de la croissance,N P N,impact du développement,N P N,croissance,développement,QSYN
histoire du globe,N P N,histoire du monde,N P N,globe,monde,QSYN
augmentation démographique,N A,croissance démographique,N A,augmentation,croissance,QSYN
environnement au cours,N P N,écologie des cours,N P N,environnement,écologie,QSYN
communauté dans le domaine,N P N,domaine de la population,N P N,communauté,population,QSYN
flore spontanée,N A,végétation spontanée,N A,flore,végétation,QSYN
vie dans le sol,N P N,sol vivant,N A,vie,vivant,QSYN
sécheresse croissante,N A,érosion croissante,N A,sécheresse,érosion,QSYN
contexte de croissance,N P N,contexte du développement,N P N,croissance,développement,QSYN
avenir du monde,N P N,avenir de la terre,N P N,monde,terre,QSYN
eau du monde,N P N,eau par la terre,N P N,monde,terre,QSYN
sites de conservation,N P N,préservation des sites,N P N,conservation,préservation,QSYN
